country,nace_r2,nace_r2_activity,waste,waste_description,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,mean_wasgen,std_wasgen
France,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",PRIM,Primary waste (TOTAL minus SEC),0.0,0.0,0.0,7498000.0,10041000.0,9982000.0,10980000.0,11698000.0,8153000.0,8354000.0,9529000.0,1694000.0
Spain,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",PRIM,Primary waste (TOTAL minus SEC),0.0,0.0,0.0,8622000.0,8777000.0,9651000.0,9647000.0,9459000.0,8470000.0,9760000.0,9198000.0,632000.0
Türkiye,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W124,Combustion wastes,4005000.0,0.0,5778000.0,6152000.0,7275000.0,10309000.0,12061000.0,7391000.0,15792000.0,9608000.0,9152000.0,5067000.0
France,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",TOTAL,Total waste,6153000.0,9035000.0,8119000.0,7578000.0,10098000.0,10080000.0,11081000.0,11805000.0,8248000.0,8443000.0,9064000.0,1973000.0
Spain,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",TOT_X_MIN,Waste excluding major mineral wastes,10785000.0,8985000.0,8942000.0,7897000.0,8051000.0,9063000.0,9214000.0,8883000.0,7961000.0,9024000.0,8881000.0,922000.0
Italy,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W06_07A,"Recyclable wastes (subtotal, W06+W07 except W077)",6290000.0,10090000.0,8521000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8300000.0,1910000.0
Italy,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W06,Metallic wastes (W061+W062+W063),6275000.0,10027000.0,8182000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8161000.0,1876000.0
Spain,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12-13,Mineral and solidified wastes (subtotal),9529000.0,8587000.0,5970000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8029000.0,1845000.0
Belgium,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",PRIM,Primary waste (TOTAL minus SEC),0.0,0.0,0.0,6432000.0,9162000.0,10571000.0,10475000.0,9544000.0,7798000.0,2112000.0,8014000.0,3087000.0
Türkiye,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12-13,Mineral and solidified wastes (subtotal),11830000.0,0.0,11957000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7929000.0,6869000.0
Belgium,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",TOTAL,Total waste,13158000.0,6297000.0,3629000.0,6437000.0,9173000.0,10574000.0,10476000.0,9551000.0,7821000.0,2116000.0,7923000.0,3668000.0
Spain,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12_X_127NH,"Mineral waste (except non-hazardous dredging spoils, valid up to 2008)",9169000.0,8486000.0,5964000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7873000.0,1689000.0
France,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",TOT_X_MIN,Waste excluding major mineral wastes,5743000.0,7463000.0,6379000.0,6216000.0,8226000.0,8288000.0,8060000.0,8728000.0,7599000.0,7722000.0,7442000.0,1183000.0
Austria,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12-13,Mineral and solidified wastes (subtotal),8132000.0,7647000.0,6014000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7264000.0,1175000.0
Austria,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12_X_127NH,"Mineral waste (except non-hazardous dredging spoils, valid up to 2008)",8132000.0,7621000.0,5931000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7228000.0,1184000.0
Belgium,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",TOT_X_MIN,Waste excluding major mineral wastes,10706000.0,3525000.0,2916000.0,5608000.0,8513000.0,9978000.0,9782000.0,9036000.0,7216000.0,2013000.0,6929000.0,3390000.0
Romania,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12-13,Mineral and solidified wastes (subtotal),6336000.0,5173000.0,8793000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6767000.0,2118000.0
Romania,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12_X_127NH,"Mineral waste (except non-hazardous dredging spoils, valid up to 2008)",6336000.0,5173000.0,8792000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6767000.0,2118000.0
Germany,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12A,"Mineral wastes (except combustion wastes, contaminated soils and polluted dredging spoils) (W121+122+W123+W125+W126, valid up to 2008)",5952000.0,6138000.0,6491000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6194000.0,353000.0
Austria,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",TOTAL,Total waste,10368000.0,8644000.0,7205000.0,2016000.0,3139000.0,6190000.0,5711000.0,6114000.0,5272000.0,6347000.0,6101000.0,2455000.0
Greece,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",TOTAL,Total waste,2855000.0,7611000.0,7418000.0,6361000.0,6149000.0,6706000.0,7239000.0,7484000.0,2956000.0,4555000.0,5933000.0,1844000.0
Belgium,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12-13,Mineral and solidified wastes (subtotal),10904000.0,4689000.0,2086000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5893000.0,4580000.0
Belgium,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12_X_127NH,"Mineral waste (except non-hazardous dredging spoils, valid up to 2008)",10904000.0,4685000.0,2086000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5892000.0,4580000.0
Greece,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",PRIM,Primary waste (TOTAL minus SEC),0.0,0.0,0.0,6345000.0,6110000.0,6573000.0,7102000.0,7377000.0,2906000.0,4447000.0,5837000.0,1610000.0
Türkiye,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12A,"Mineral wastes (except combustion wastes, contaminated soils and polluted dredging spoils) (W121+122+W123+W125+W126, valid up to 2008)",7825000.0,0.0,6179000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5835000.0,2645000.0
Austria,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",TOT_X_MIN,Waste excluding major mineral wastes,9225000.0,7949000.0,6691000.0,1677000.0,2741000.0,5602000.0,5246000.0,5686000.0,4922000.0,6031000.0,5577000.0,2261000.0
