Country reporting,Import/export,To or from country,Middle_Level_Code,Middle_Level_Description,LoW_Code,LoW_Description,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,mean_ship,std_ship
Netherlands,Export,Germany,10.3,Sorting residues,191212,other wastes (including mixtures of materials) from mechanical treatment of wastes other than those mentioned in 19 12 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241000.0,224000.0,239000.0,233000.0,270000.0,154000.0,144000.0,184000.0,223000.0,171000.0,133000.0,116000.0,0.0,210000.0,101000.0
Germany,Export,France,12.5,Various mineral wastes,161104,other linings and refractories from metallurgical processes other than those mentioned in 16 11 03,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,3000.0,93000.0,0.0,0.0,0.0,114000.0,112000.0,115000.0,0.0,0.0,0.0,0.0,0.0,208000.0,3000.0
Norway,Export,Denmark,03.2,Industrial effluent sludges,161001*,aqueous liquid wastes containing dangerous substances,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,60000.0,121000.0,103000.0,2000.0,1000.0,1000.0,203000.0,35000.0
United Kingdom,Export,Denmark,10.3,Sorting residues,191210,combustible waste (refuse derived fuel),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,78000.0,131000.0,204000.0,262000.0,332000.0,219000.0,239000.0,164000.0,140000.0,0.0,0.0,0.0,196000.0,93000.0
Germany,Export,Austria,07.5,Wood wastes,191207,wood other than that mentioned in 19 12 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46000.0,75000.0,128000.0,116000.0,204000.0,171000.0,0.0,208000.0,222000.0,251000.0,281000.0,306000.0,0.0,187000.0,85000.0
Germany,Export,Switzerland,10.1,Household and similar wastes,200301,mixed municipal waste,0.0,0.0,0.0,0.0,0.0,0.0,139000.0,115000.0,116000.0,156000.0,156000.0,156000.0,154000.0,156000.0,158000.0,155000.0,158000.0,157000.0,160000.0,106000.0,106000.0,0.0,184000.0,110000.0
United Kingdom,Export,Netherlands,10.3,Sorting residues,191212,other wastes (including mixtures of materials) from mechanical treatment of wastes other than those mentioned in 19 12 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116000.0,352000.0,241000.0,48000.0,1000.0,26000.0,42000.0,50000.0,28000.0,24000.0,0.0,0.0,0.0,179000.0,165000.0
Norway,Export,Denmark,03.1,Chemical deposits and residues,130802*,other emulsions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,13000.0,40000.0,132000.0,119000.0,88000.0,178000.0,28000.0
Ireland,Export,Netherlands,12.8,Waste from waste treatment,190112,bottom ash and slag other than those mentioned in 19 01 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73000.0,109000.0,86000.0,0.0,176000.0,25000.0
Austria,Export,Slovakia,10.3,Sorting residues,191212,other wastes (including mixtures of materials) from mechanical treatment of wastes other than those mentioned in 19 12 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,120000.0,156000.0,23000.0,116000.0,150000.0,35000.0,35000.0,169000.0,166000.0,178000.0,160000.0,140000.0,157000.0,0.0,175000.0,32000.0
Germany,Export,Netherlands,10.3,Sorting residues,191212,other wastes (including mixtures of materials) from mechanical treatment of wastes other than those mentioned in 19 12 11,0.0,0.0,0.0,34000.0,155000.0,98000.0,59000.0,43000.0,93000.0,143000.0,89000.0,66000.0,76000.0,76000.0,74000.0,111000.0,142000.0,144000.0,216000.0,316000.0,235000.0,0.0,175000.0,137000.0
Norway,Export,Sweden,10.3,Sorting residues,191212,other wastes (including mixtures of materials) from mechanical treatment of wastes other than those mentioned in 19 12 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197000.0,164000.0,192000.0,176000.0,133000.0,96000.0,0.0,172000.0,67000.0
Norway,Export,Denmark,12.6,Soils,170504,soil and stones other than those mentioned in 17 05 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62000.0,173000.0,169000.0,0.0,160000.0,56000.0
France,Export,Belgium,12.6,Soils,170504,soil and stones other than those mentioned in 17 05 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,144000.0,208000.0,163000.0,114000.0,62000.0,33000.0,128000.0,81000.0,23000.0,71000.0,75000.0,0.0,156000.0,142000.0
Germany,Export,Netherlands,12.6,Soils,170504,soil and stones other than those mentioned in 17 05 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61000.0,35000.0,86000.0,159000.0,4000.0,62000.0,188000.0,54000.0,14000.0,0.0,0.0,0.0,154000.0,87000.0
